,citizen_network_size,network_discount_factor,Run,Active,Jailed,Quiescent,Seed,Speed of Rebellion Transmission,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters,seed
0,1,0.1,0,0,32,1125,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
1,1,0.1,1,0,26,1094,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
2,1,0.1,2,0,23,1149,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
3,1,0.6,3,0,26,1104,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
4,1,0.6,4,0,22,1105,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
5,1,0.6,5,0,26,1120,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
6,11,0.1,6,0,33,1140,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
7,11,0.1,7,0,29,1141,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
8,11,0.1,8,0,23,1107,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
9,11,0.6,9,0,26,1123,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
10,11,0.6,10,0,31,1132,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
11,11,0.6,11,0,34,1134,,0.0,40,40,0.7,0.074,7,7,0.8,1000,0.1,2.3,True,1000,
